prefix,main-agent_id,main-agent_has_fingers,interloctr_id,interloctr_has_fingers
trn_2023_v0_000,08,finger_excl,01,finger_incl
trn_2023_v0_001,16,finger_incl,01,finger_incl
trn_2023_v0_002,14,finger_excl,01,finger_excl
trn_2023_v0_003,08,finger_incl,01,finger_incl
trn_2023_v0_004,02,finger_incl,01,finger_excl
trn_2023_v0_005,15,finger_excl,04,finger_incl
trn_2023_v0_006,07,finger_excl,01,finger_incl
trn_2023_v0_007,01,finger_incl,13,finger_excl
trn_2023_v0_008,01,finger_excl,07,finger_incl
trn_2023_v0_009,07,finger_incl,01,finger_incl
trn_2023_v0_010,01,finger_incl,16,finger_excl
trn_2023_v0_011,09,finger_incl,01,finger_incl
trn_2023_v0_012,17,finger_incl,01,finger_excl
trn_2023_v0_013,08,finger_excl,01,finger_incl
trn_2023_v0_014,01,finger_incl,06,finger_incl
trn_2023_v0_015,01,finger_incl,16,finger_incl
trn_2023_v0_016,01,finger_incl,17,finger_excl
trn_2023_v0_017,03,finger_incl,01,finger_incl
trn_2023_v0_018,14,finger_excl,01,finger_excl
trn_2023_v0_019,17,finger_excl,01,finger_incl
trn_2023_v0_020,13,finger_incl,01,finger_excl
trn_2023_v0_021,01,finger_incl,09,finger_incl
trn_2023_v0_022,07,finger_incl,01,finger_incl
trn_2023_v0_023,01,finger_incl,02,finger_excl
trn_2023_v0_024,06,finger_excl,01,finger_incl
trn_2023_v0_025,14,finger_incl,01,finger_incl
trn_2023_v0_026,11,finger_incl,10,finger_incl
trn_2023_v0_027,10,finger_incl,11,finger_incl
trn_2023_v0_028,09,finger_incl,01,finger_excl
trn_2023_v0_029,05,finger_incl,04,finger_incl
trn_2023_v0_030,17,finger_incl,01,finger_incl
trn_2023_v0_031,08,finger_excl,01,finger_incl
trn_2023_v0_032,01,finger_excl,09,finger_incl
trn_2023_v0_033,01,finger_incl,03,finger_incl
trn_2023_v0_034,17,finger_incl,01,finger_incl
trn_2023_v0_035,08,finger_excl,01,finger_incl
trn_2023_v0_036,11,finger_incl,10,finger_excl
trn_2023_v0_037,04,finger_incl,15,finger_incl
trn_2023_v0_038,07,finger_incl,01,finger_excl
trn_2023_v0_039,01,finger_incl,08,finger_excl
trn_2023_v0_040,01,finger_excl,08,finger_incl
trn_2023_v0_041,01,finger_excl,13,finger_incl
trn_2023_v0_042,04,finger_incl,15,finger_incl
trn_2023_v0_043,03,finger_excl,01,finger_excl
trn_2023_v0_044,01,finger_incl,16,finger_incl
trn_2023_v0_045,04,finger_incl,05,finger_incl
trn_2023_v0_046,05,finger_incl,04,finger_excl
trn_2023_v0_047,03,finger_excl,01,finger_excl
trn_2023_v0_048,08,finger_excl,01,finger_incl
trn_2023_v0_049,01,finger_excl,14,finger_excl
trn_2023_v0_050,07,finger_excl,01,finger_incl
trn_2023_v0_051,01,finger_excl,13,finger_incl
